SID,date,waste?
st01,9/7/17,5
st01,9/8/17,20
st01,9/10/17,5
st01,9/11/17,5
st01,9/12/17,5
st01,9/13/17,5
st01,9/14/17,0
st01,9/15/17,20
st01,9/16/17,5
st01,9/18/17,5
st01,9/19/17,0
st01,9/21/17,0
st03,9/5/17,10
st03,9/6/17,7
st03,9/7/17,24
st03,9/8/17,15
st03,9/9/17,5
st03,9/10/17,18
st03,9/11/17,5
st03,9/12/17,10
st04,9/5/17,0
st04,9/6/17,0
st04,9/7/17,10
st04,9/8/17,0
st04,9/9/17,70
st04,9/10/17,10
st04,9/11/17,0
st04,9/12/17,20
st04,9/13/17,40
st05,9/6/17,0
st05,9/7/17,0
st05,9/8/17,5
st05,9/9/17,0
st05,9/10/17,2
st05,9/14/17,0
st05,9/15/17,20
st05,9/16/17,0
st05,9/17/17,0
st08,9/5/17,25
st08,9/6/17,15
st08,9/7/17,0
st08,9/8/17,0
st08,9/9/17,40
st08,9/10/17,0
st08,9/11/17,0
st08,9/12/17,15
st08,9/13/17,0
st08,9/14/17,0
st08,9/16/17,0
st08,9/17/17,12
st08,9/18/17,50
st13,9/5/17,0
st13,9/6/17,0
st13,9/7/17,0
st13,9/8/17,0
st13,9/9/17,0
st13,9/10/17,0
st13,9/11/17,0
st13,9/12/17,0
st09,9/5/17,0
st09,9/6/17,0
st09,9/7/17,0
st09,9/8/17,0
st09,9/11/17,35
st09,9/13/17,10
st09,9/15/17,0
st09,9/16/17,40
st21,9/5/17,80
st21,9/6/17,25
st21,9/7/17,50
st21,9/8/17,80
st21,9/9/17,30
st21,9/12/17,20
st21,9/14/17,0
st21,9/15/17,10
st21,9/17/17,40
st21,9/18/17,40
